"","site","depth","date","data","delta"
"1168","ESC","Shallow",2003-06-24,0,0
"1170","ESC","Shallow",2003-08-26,0.04,0.04
"1171","ESC","Shallow",2003-09-23,0.04,0
"1172","ESC","Shallow",2003-10-30,0.04,0
"1173","ESC","Shallow",2003-11-25,0.04,0
"1174","ESC","Shallow",2003-12-29,0.03,-0.01
"1175","ESC","Shallow",2004-01-27,0.03,0
"1176","ESC","Shallow",2004-02-25,0.03,0
"1177","ESC","Shallow",2004-03-23,0.04,0.01
"1178","ESC","Shallow",2004-04-27,0.04,0
"1179","ESC","Shallow",2004-05-25,0.03,-0.01
"1180","ESC","Shallow",2004-06-22,0.02,-0.01
"1181","ESC","Shallow",2004-07-27,0.04,0.02
"1182","ESC","Shallow",2004-08-24,0.03,-0.01
"1183","ESC","Shallow",2004-09-29,0.04,0.01
"1184","ESC","Shallow",2004-10-27,0.03,-0.01
"1185","ESC","Shallow",2004-11-23,0.03,0
"1186","ESC","Shallow",2004-12-21,0.03,0
"1187","ESC","Shallow",2005-01-25,0.03,0
"1188","ESC","Shallow",2005-02-22,0.03,0
"1189","ESC","Shallow",2005-03-21,0.03,0
"1190","ESC","Shallow",2005-04-27,0.03,0
"1191","ESC","Shallow",2005-05-24,0.04,0.01
"1192","ESC","Shallow",2005-06-13,0.04,0
"1193","ESC","Shallow",2005-07-26,0.04,0
"1194","ESC","Shallow",2005-08-26,0.04,0
"1195","ESC","Shallow",2005-09-27,0.04,0
"1196","ESC","Shallow",2005-10-25,0.04,0
"1197","ESC","Shallow",2005-11-23,0.04,0
"1198","ESC","Shallow",2005-12-28,0.04,0
"1234","HUM","Shallow",2003-01-22,0.03,0
"1236","HUM","Shallow",2003-04-28,0,-0.03
"1237","HUM","Shallow",2003-05-28,0,0
"1238","HUM","Shallow",2003-06-24,0,0
"1240","HUM","Shallow",2003-08-26,0.02,0.02
"1241","HUM","Shallow",2003-09-23,0.02,0
"1242","HUM","Shallow",2003-10-28,0.02,0
"1243","HUM","Shallow",2003-11-25,0.02,0
"1244","HUM","Shallow",2003-12-29,0.01,-0.01
"1245","HUM","Shallow",2004-01-27,0.01,0
"1246","HUM","Shallow",2004-02-25,0.02,0.01
"1247","HUM","Shallow",2004-03-23,0.02,0
"1248","HUM","Shallow",2004-04-27,0.02,0
"1249","HUM","Shallow",2004-05-25,0.01,-0.01
"1250","HUM","Shallow",2004-06-22,0.01,0
"1251","HUM","Shallow",2004-07-27,0.02,0.01
"1252","HUM","Shallow",2004-08-24,0.02,0
"1253","HUM","Shallow",2004-09-28,0.02,0
"1254","HUM","Shallow",2004-10-26,0.01,-0.01
"1255","HUM","Shallow",2004-11-23,0.01,0
"1256","HUM","Shallow",2004-12-21,0.01,0
"1257","HUM","Shallow",2005-01-25,0.01,0
"1258","HUM","Shallow",2005-02-22,0.01,0
"1259","HUM","Shallow",2005-03-21,0.01,0
"1260","HUM","Shallow",2005-04-27,0.01,0
"1261","HUM","Shallow",2005-05-24,0.02,0.01
"1262","HUM","Shallow",2005-06-13,0.02,0
"1263","HUM","Shallow",2005-07-26,0.02,0
"1264","HUM","Shallow",2005-08-26,0.01,-0.01
"1265","HUM","Shallow",2005-09-27,0.01,0
"1266","HUM","Shallow",2005-10-25,0.02,0.01
"1267","HUM","Shallow",2005-11-23,0.01,-0.01
"1268","HUM","Shallow",2005-12-28,0.01,0
"1302","LAT","Shallow",2003-01-24,0.03,0
"1304","LAT","Shallow",2003-04-30,0,-0.03
"1305","LAT","Shallow",2003-05-29,0,0
"1306","LAT","Shallow",2003-06-26,0,0
"1308","LAT","Shallow",2003-08-28,0.01,0.01
"1309","LAT","Shallow",2003-09-25,0.01,0
"1310","LAT","Shallow",2003-10-29,0.01,0
"1311","LAT","Shallow",2003-11-27,0.01,0
"1312","LAT","Shallow",2003-12-30,0.01,0
"1313","LAT","Shallow",2004-01-29,0.01,0
"1314","LAT","Shallow",2004-02-27,0.01,0
"1315","LAT","Shallow",2004-03-25,0.01,0
"1316","LAT","Shallow",2004-04-28,0.01,0
"1317","LAT","Shallow",2004-05-27,0.01,0
"1318","LAT","Shallow",2004-06-24,0.01,0
"1319","LAT","Shallow",2004-07-28,0.06,0.05
"1320","LAT","Shallow",2004-08-26,0.01,-0.05
"1321","LAT","Shallow",2004-09-30,0.01,0
"1322","LAT","Shallow",2004-10-28,0.01,0
"1323","LAT","Shallow",2004-11-25,0,-0.01
"1324","LAT","Shallow",2004-12-22,0.01,0.01
"1325","LAT","Shallow",2005-01-27,0.01,0
"1326","LAT","Shallow",2005-02-23,0.01,0
"1327","LAT","Shallow",2005-03-23,0.02,0.01
"1328","LAT","Shallow",2005-04-28,0.01,-0.01
"1329","LAT","Shallow",2005-05-26,0.01,0
"1330","LAT","Shallow",2005-06-14,0.01,0
"1331","LAT","Shallow",2005-07-27,0.01,0
"1332","LAT","Shallow",2005-08-30,0.01,0
"1333","LAT","Shallow",2005-09-28,0.01,0
"1334","LAT","Shallow",2005-10-26,0.01,0
"1335","LAT","Shallow",2005-11-22,0,-0.01
"1336","LAT","Shallow",2005-12-27,0.01,0.01
"1373","MLR","Shallow",2003-04-29,0,0
"1375","MLR","Shallow",2003-06-24,0,0
"1376","MLR","Shallow",2003-08-27,0.05,0.05
"1377","MLR","Shallow",2003-09-24,0.05,0
"1378","MLR","Shallow",2003-10-30,0.04,-0.01
"1379","MLR","Shallow",2003-11-26,0.04,0
"1380","MLR","Shallow",2003-12-29,0.04,0
